iteration=1
( C, 0, 0, R, 0):NONE=[0.000]
( C, 0, 0, D, 0):NONE=[0.000]
( N, 0, 0, R, 0):NONE=[0.000]
( N, 0, 0, D, 0):NONE=[0.000]
( E, 0, 0, R, 0):NONE=[0.000]
( E, 0, 0, D, 0):NONE=[0.000]
( S, 0, 0, R, 0):NONE=[0.000]
( S, 0, 0, D, 0):NONE=[0.000]
( W, 0, 0, R, 0):NONE=[0.000]
( W, 0, 0, D, 0):NONE=[0.000]
( C, 1, 0, R, 0):NONE=[0.000]
( C, 1, 0, D, 0):NONE=[0.000]
( N, 1, 0, R, 0):NONE=[0.000]
( N, 1, 0, D, 0):NONE=[0.000]
( E, 1, 0, R, 0):NONE=[0.000]
( E, 1, 0, D, 0):NONE=[0.000]
( S, 1, 0, R, 0):NONE=[0.000]
( S, 1, 0, D, 0):NONE=[0.000]
( W, 1, 0, R, 0):NONE=[0.000]
( W, 1, 0, D, 0):NONE=[0.000]
( C, 2, 0, R, 0):NONE=[0.000]
( C, 2, 0, D, 0):NONE=[0.000]
( N, 2, 0, R, 0):NONE=[0.000]
( N, 2, 0, D, 0):NONE=[0.000]
( E, 2, 0, R, 0):NONE=[0.000]
( E, 2, 0, D, 0):NONE=[0.000]
( S, 2, 0, R, 0):NONE=[0.000]
( S, 2, 0, D, 0):NONE=[0.000]
( W, 2, 0, R, 0):NONE=[0.000]
( W, 2, 0, D, 0):NONE=[0.000]
( C, 0, 1, R, 0):NONE=[0.000]
( C, 0, 1, D, 0):NONE=[0.000]
( N, 0, 1, R, 0):NONE=[0.000]
( N, 0, 1, D, 0):NONE=[0.000]
( E, 0, 1, R, 0):NONE=[0.000]
( E, 0, 1, D, 0):NONE=[0.000]
( S, 0, 1, R, 0):NONE=[0.000]
( S, 0, 1, D, 0):NONE=[0.000]
( W, 0, 1, R, 0):NONE=[0.000]
( W, 0, 1, D, 0):NONE=[0.000]
( C, 1, 1, R, 0):NONE=[0.000]
( C, 1, 1, D, 0):NONE=[0.000]
( N, 1, 1, R, 0):NONE=[0.000]
( N, 1, 1, D, 0):NONE=[0.000]
( E, 1, 1, R, 0):NONE=[0.000]
( E, 1, 1, D, 0):NONE=[0.000]
( S, 1, 1, R, 0):NONE=[0.000]
( S, 1, 1, D, 0):NONE=[0.000]
( W, 1, 1, R, 0):NONE=[0.000]
( W, 1, 1, D, 0):NONE=[0.000]
( C, 2, 1, R, 0):NONE=[0.000]
( C, 2, 1, D, 0):NONE=[0.000]
( N, 2, 1, R, 0):NONE=[0.000]
( N, 2, 1, D, 0):NONE=[0.000]
( E, 2, 1, R, 0):NONE=[0.000]
( E, 2, 1, D, 0):NONE=[0.000]
( S, 2, 1, R, 0):NONE=[0.000]
( S, 2, 1, D, 0):NONE=[0.000]
